id_protocolo	patologia	principales	sistema	complementarios	oligoelementos	topicos	estado
prot_060	Cólico	Colocynthis; Fibaloe	Alumina	Senna	Cuprum k7 MH		activo
prot_061	Colitis	Senna; Fibaloe Líquida	Alumina	Colocynthis; Nux vómica	Cuprum k7 MH		activo
prot_062	Comedones	Kalium bromatum		Graphites; Sulphur	Manganeso k7 MH	Salvia Crema o Gel; Plata Coloidal spray	activo
prot_063	Condiloma	Thuja crema; Thuja	Juglans	Scrophularia	Magnesio k7 MH		activo
prot_064	Conjuntivitis	Euphrasia		Baptisia; Echinacea	Iodo k7 MH		activo
prot_065	Convalecencia	Stanum; Sales de schussler		Cúrcuma elíxir; Phosphoricum acidum	Aurum k7 MH		activo
prot_066	Convulsiones	Cicuta	Aurum met		Cobre k7 MH		activo
prot_067	Costra láctea	Thallium vial tópico	Thallium	Graphites	Manganeso k7 MH	Plata Coloidal spray	activo
prot_068	Coxalgias	Árnica; Kalmia; Harpagophytum cápsulas	Colchicum	Apis	Manganeso k7 MH	Kalmia gel; Cannabis crema	activo
prot_069	Crecimiento	Calcium phosphoricum; Ruta; Multivitamínico	Cinnamomum o Chimaphila	Conium			activo
prot_070	Debilidad	Phosphoricum acidum; Ruta Elíxir		Zingiber; Ginkgo bil.; Stanum cápsulas			activo
prot_071	Defensas	Manganum; Elíxir de Cúrcuma; Conium; Echinacea; Galium; Ascorbicum acidum					activo
prot_072	Deformaciones óseas	Calcium phosphoricum	Colchicum	Silícea cápsulas	Phosphorus k7 MH		activo
prot_073	Depresión	Zincum met	Aurum met	Hypericum; Conium	Aurum k7 MH		activo
prot_074	Depurativo renal	Hydrangea	Equisetum	Berberis; Solidago	Zinc k7 MH		activo
prot_075	Depurativo sanguíneo	Juglans		Scrophularia	Hierro k7 MH		activo
prot_076	Dermatitis seborreica	Rosmarinus Loción capilar				Plata Coloidal spray; Hydrocotile crema	activo
prot_077	Dermatitis	Mezereum		Graphites; Sulphur	Manganeso k7 MH	Urtica Gel o Crema; Hydrocotile crema	activo
prot_078	Descalcificación	Calcium phosphoricum; Ascorbicum acidum		Silícea cápsulas	Phosphorus k7 MH		activo
prot_079	Diabetes	Uranium; Syzygium; Leptandra	Thallium	Viscum	Cuprum k7 MH		activo
prot_080	Diarrea	Chininum	Alumina	Carbo veg			activo
prot_081	Digestión irregular	Carbo Vegetabilis; Elíxir de Cúrcuma	Alumina	Chininum	Cuprum k7 MH		activo
prot_082	Dislipidemia	Cholesterolum; Elíxir de Cúrcuma		Glonoinum	Hierro k7 MH		activo
prot_083	Dismenorrea	Cinnamomum		Crocus	Zinc k7 MH		activo
prot_084	Dispepsia	Alumina; Elíxir de Cúrcuma	Alumina	Carbo Vegetabilis	Cuprum k7 MH		activo
prot_085	Disuria	Hydrangea	Equisetum	Echinacea	MH OLI D3		activo
prot_086	Diverticulitis	Nux vómica		Viscum	Cuprum k7 MH		activo
prot_087	Dolor	Apis; Árnica		Magnesia	Silicea K7	Árnica Crema o Gel; Cápsicum ungüento	activo
prot_088	Dolor lumbar	Rhododendron	Colchicum	Magnesia; Apis	Cobre k7 MH	Kalmia gel; Cápsicum ungüento	activo
prot_089	Drenaje linfático	Juglans		Scrophularia	Hierro k7 MH		activo
prot_090	Drenador general	RUMEX MH; tratamiento Detox					activo
prot_091	Edema	Hydrangea	Juglans	Sulphur	Manganeso k7 MH	Árnica Crema o Gel	activo
prot_092	Endocarditis	Cactus		Árnica	Hierro k7 MH		activo
prot_093	Endometritis	Caléndula óvulos vaginales; Mercurius; Árnica		Viburnum; Lilium	Iodo k7 MH		activo
prot_094	Enfermedad crónico degenerativa	Elíxir de Cúrcuma; Stanum cápsulas o spray		Viscum; Phosporicum Acidum	Magnesio k7 MH		activo
prot_095	Enfisema pulmonar	Ipeca	Kalium bich	Árnica; Echinacea	Manganeso k7 MH		activo
prot_096	Enteritis	Vincetoxicum; Elíxir de Cúrcuma	Alumina	Colocynthis; Chininum	Cuprum k7 MH		activo
prot_097	Epilepsia	Cicuta		Ginkgo biloba	Cobre k7 MH		activo
prot_098	Erisipela	Vaccinium		Baptisia	Iodo k7 MH	Urtica Gel o Crema; Plata Coloidal spray; Hydrocotile	activo
prot_099	Escarlatina	Vaccinium; Plata Coloidal tópica y oral		Baptisia	Iodo k7 MH		activo
prot_100	Esclerosis	Conium; Elíxir de Cúrcuma		Viscum; Phosporicum acidum	Iodo k7 MH		activo
prot_101	Escrofulosis	Juglans		Scrophularia	Cobre k7 MH		activo
prot_102	Esguince	Árnica		Rhododendron		Árnica Crema o Gel; Cannabis crema; Cápsicum ungüento	activo
prot_103	Estreñimiento	Rhamnus Purshiana; Fibaloe	Alumina	Senna; Taraxacum	Cuprum k7 MH		activo
prot_104	Estrés	Ignatia; Conium	Aurum met		Cobre k7 MH		activo
prot_105	Faringitis	Borax; Euphatorium		Echinacea; Baptisia	Iodo k7 MH	Plata Coloidal spray (Gárgaras)	activo
prot_106	Fibroma de seno			Scrophularia	Magnesio k7 MH		activo
prot_107	Fiebre	Baptisia; Belladona		Echinacea; Borax	Iodo k7 MH		activo
prot_108	Fisura anal	Aesculus		Graphites; Passiflora		Aesculus óvulos o Gel	activo
prot_109	Flatulencia	Carbo Vegetabilis	Alumina	Nux vómica	Cuprum k7 MH		activo
prot_110	Frigidez	Origanum		Caladium	Aurum k7 MH		activo
prot_111	Fracturas	Árnica		Calcium phosphoricum	Phosphorus k7 MH	Árnica Crema o Gel	activo
prot_112	Furunculosis	Vaccinium	Juglans	Árnica	Iodo k7 MH	Caléndula Crema o Gel; Echinacea crema; Plata Coloidal spray	activo
prot_113	Gangrena	Vipera	Juglans	Mezereum	Iodo k7 MH	Echinacea crema; Plata Coloidal spray	activo
prot_114	Gastritis	Abies; Fibaloe; Plata Coloidal oral		Nux vómica	Cuprum k7 MH		activo
prot_115	Gastroenteritis	Chininum; Baptisia; Plata Coloidal oral		Elíxir de Cúrcuma	Cuprum k7 MH		activo
prot_116	Gingivitis	Árnica; Echinacea			Iodo k7 MH	Plata Coloidal oral	activo
prot_117	Gota	Benzoicum acidum	Juglans	Berberis	Magnesio k7 MH	Árnica Crema o Gel	activo
prot_118	Halitosis	Chelidonium	Alumina	Carbo vegetabilis; Plata Coloidal	Cuprum k7 MH		activo
prot_119	Gripe	Allium cepa ótico; Bryonia	Juglans	Aconitum			activo
prot_120	Helmintiasis	Teucrium	Alumina	Elíxir de Cúrcuma; Rhamnus Purshiana	Cuprum k7 MH		activo
prot_121	Hematoma	Árnica; Hamamelis	Cactus		Hierro k7 MH	Aesculus Gel	activo
prot_122	Hemorragias	Cinnamomum		Crocus	Hierro k7 MH		activo
prot_123	Hemorroides	Aesculus		Hamamelis	Hierro k7 MH	Aesculus óvulos o gel	activo
prot_124	Hepatitis	Chelidonium; Plata Coloidal		Leptandra; Elíxir de Cúrcuma	Cuprum k7 MH		activo
prot_125	Hepatopatía	Chelidonium; Elíxir de Cúrcuma		Leptandra	Cuprum k7 MH		activo
prot_126	Herpes	Borax; Mezereum; Plata Coloidal oral	Juglans; Thallium	Galium	Iodo k7 MH	Echinacea Crema o Gel	activo
prot_127	Hidrocele	Hydrangea	Chimaphila	Sabal; Árnica	Magnesio k7 MH	Árnica Crema o Gel	activo
prot_128	Hiperhidrosis	Jaborandi		Marrubium	Magnesio k7 MH		activo
prot_129	Hipertensión	Baryta; Carduus; Elíxir de Cúrcuma	Cactus	Manganum; Glonoinum	Hierro k7 MH		activo
prot_130	Hiperuricemia	Benzoicum acidum		Glonoinum	Magnesio k7 MH		activo
prot_131	Hipocondria	Gelsemium	Aurum met			activo	
prot_132	Hipotensión	Crataegus; Elíxir de Cúrcuma	Cactus	Glonoinum	Hierro k7 MH		activo
prot_133	Histeria	Gelsemium	Aurum met	Ignatia	Magnesio k7 MH		activo
prot_134	Hongos	Sepia spray		Pulsatilla; Passiflora; Conium	Manganeso k7 MH	Echinacea Gel o Crema; Plata Coloidal spray	activo
prot_135	Ictericia	Chelidonium; Elíxir de Cúrcuma		Taraxacum	Cuprum k7 MH		activo
prot_136	Impaciencia	Argentum nitricum 200CH			Magnesio k7 MH		activo
prot_137	Impotencia	Yohimbinum; Damiana; Agnus; Caladium			Aurum k7 MH		activo
prot_138	Inapetencia	Medicago		Gentiana	Zinc k7 MH		activo
prot_139	Incontinencia urinaria	Berberis	Equisetum; Thallium	Echinacea	Zinc k7 MH		activo
prot_140	Indigestión	Carbón vegetal; Elíxir de Cúrcuma	Alumina	Colocynthis	Cuprum k7 MH		activo
prot_141	Infecciones bacterianas	Vaccinium; Echinacea	Juglans	Plata Coloidal	Iodo k7 MH		activo
prot_142	Inflamaciones localizadas	Árnica; Apis			Silicea K7	Crema o Gel de Árnica; Cannabis crema; Cápsicum ungüento	activo
prot_143	Insomnio	Melissa	Aurum met		Magnesio k7 MH		activo
prot_144	Insuficiencia cardíaca	Cactus; Carduus; Elíxir de Cúrcuma		Ignatia	Hierro k7 MH		activo
prot_145	Intertrigo	Mezereum		Graphites	Manganeso k7 MH	Sepia spray; Plata Coloidal	activo
prot_146	Intoxicación	Nux vómica		Carbón vegetal	Cuprum k7 MH		activo
prot_147	Irritabilidad nerviosa	Ignatia	Aurum met	Hypericum; Conium	Magnesio k7 MH		activo
prot_148	Laringitis	Borax; Euphatorium	Juglans	Vincetoxicum; Baptisia	Iodo k7 MH	Plata Coloidal spray (Gárgaras)	activo
prot_149	Leucorrea	Lilium óvulos vaginales	Cinnamomum	Crocus	Iodo k7 MH		activo
prot_150	Mareos	Petroleum		Crataegus	Zinc k7 MH		activo
prot_151	Mastitis	Baptisia	Juglans	Árnica; Echinacea; Belladona	Iodo k7 MH		activo
prot_152	Meningitis	Vaccinium	Juglans	Echinacea; Galium	Iodo k7 MH		activo
prot_153	Menopausia	Angélica	Cinnamomum	Ignatia	Zinc k7 MH		activo
prot_154	Menorragia metroragia		Cinnamomum	Lilium; Crocus	Hierro k7 MH		activo
prot_155	Mialgias	Magnesia	Colchicum	Thuja; Rhododendron	Manganeso k7 MH	Árnica Crema o Gel; Cannabis crema	activo
prot_156	Micosis	Mezereum; Sepia spray		Echinacea	Manganeso k7 MH	Urtica Gel o Crema; Plata Coloidal	activo
prot_157	Miedos	Gelsemium	Aurum met; Conium	Hypericum	Magnesio k7 MH		activo
prot_158	Migraña	Iris		Ignatia; Apis	Cobre k7 MH		activo
prot_159	Mioma uterino	Viburnum; Lilium; Lilium óvulos vaginales	Cinnamomum		Magnesio k7 MH		activo
prot_160	Mononucleosis	Vincetoxicum	Juglans		Iodo k7 MH	Plata Coloidal	activo
prot_161	Nefritis	Hydrangea	Equisetum	Árnica	Iodo k7 MH		activo
prot_162	Neoplasias	Elíxir de Cúrcuma; Scrophularia	Juglans		Magnesio k7 MH		activo
prot_163	Nerviosismo - estres	Ignatia; Conium; Tratamiento sistema nervioso	Aurum met	Passiflora; Hypericum	Magnesio k7 MH		activo
prot_164	Neumonía	Ipeca; Vincetoxicum; Vaccinium	Kalium bich	Ipeca elíxir	Iodo k7 MH		activo
prot_165	Neuralgia	Magnesia	Colchicum	Árnica; Rhododendron	Cobre k7 MH	Cannabis crema	activo
prot_166	Obesidad	Fucus; tratamiento Sobrepeso		Juglans; Taraxacum	Zinc k7 MH	Fucus Gel	activo
prot_167	Orzuelos	Staphysagria	Juglans	Euphrasia	Iodo k7 MH	Plata coloidal spray (puede aplicarse sobre el orzuelo)	activo
prot_168	Osteoporosis	Calcium phosphoricum; Calcium phosphoricum triturado; Silícea Cápsulas		Sales de schussler	Phosphorus k7 MH		activo
prot_169	Otitis	Allium cepa ótico; Baptisia		Árnica; Echinacea	Iodo k7 MH		activo
prot_170	Ovarios - disfunciones	Lilium	Cinnamomum	Viburnum; Crocus	Zinc k7 MH		activo
prot_171	Oxigenación cerebral	Ginkgo biloba; Ruta Elíxir; Elíxir de Cúrcuma		Ruta	Magnesio k7 MH		activo
prot_172	Oxiuriasis	Teucrium	Alumina	Rhamnus Purshiana; Nux vómica; Elíxir de Cúrcuma	Cuprum k7 MH		activo
prot_173	Pancreatitis	Leptandra; Elíxir de Cúrcuma	Alumina	Chelidonium	Cuprum k7 MH		activo
prot_174	Pánico	Gelsemium	Aurum met	Hypericum; Ignatia	Magnesio k7 MH		activo
prot_175	Parálisis	Plumbum	Aurum met	Cicuta; Magnesia; Stanum cápsulas o spray	Magnesio k7 MH		activo
prot_176	Párkinson	Marrubium; Elíxir de Cúrcuma	Aurum met	Plumbum; Viscum; Stanum	Cobre k7 MH		activo
prot_177	Patologías crónico degenerativas	Marrubium; Elíxir de Cúrcuma		Stanum	Magnesio k7 MH		activo
prot_178	Picaduras	Apis D4 D6 D12			Manganeso k7 MH	Caléndula Crema o Gel; Plata coloidal spray	activo
prot_179	Pie de atleta	Pulsatilla		Graphites	Manganeso k7 MH	Propolis spray; Plata Coloidal	activo
prot_180	Piel - enfermedades	Mezereum; Graphites; Sulphur; Kalium Bromatum	Thallium		Manganeso k7 MH	Árnica Crema o Gel; Caléndula Crema o Gel; Carica papaya Crema o Gel; Salvia Crema o Gel; Aesculus gel; Graphites crema o gel; Thallium vial tópico	activo
prot_181	Pielitis	Solidago	Equisetum	Berberis	Iodo k7 MH		activo
prot_182	Pólipo nasal	Euphatorium; Luffa Spray nasal		Hydrastis	Iodo k7 MH		activo
prot_183	Precancerosis	Elíxir de Cúrcuma; Viscum		Scrophularia; Thuja	Magnesio k7 MH	Hydrocotile (piel)	activo
prot_184	Prolapso rectal	Aesculus		Hamamelis	Hierro k7 MH	Aesculus gel	activo
prot_185	Prostatitis	Sabal	Chimaphila	Agnus; Árnica	Magnesio k7 MH	Árnica Crema o Gel	activo
prot_186	Prurito	Sulphur		Graphites	Manganeso k7 MH	Caléndula Crema o Gel	activo
prot_187	Psoriasis	Marrubium; Mezereum		Sulphur	Manganeso k7 MH	Urtica Gel o Crema; Plata Coloidal spray	activo
prot_188	Quemadura	Apis		Árnica; Echinacea		Caléndula Crema o Gel	activo
prot_189	Queratitis	Staphysagria		Vincetoxicum; Euphrasia	Zinc k7 MH		activo
prot_190	Quiste	En general: Thuja Scrophularia; De ovario: Lilium Thuja; De senos: Thuja Conium D6 Phytolacca D6					activo
prot_191	Reflujo	Taraxacum elixir; Fibaloe		Alumina	Cuprum K7 MH		activo
prot_192	Regeneración celular	Elíxir de Cúrcuma; Viscum; Phosphoricum Acidum		Conium; Stanum cápsulas o spray			activo
prot_193	Regulador hormonal femenino	Viburnum	Cinnamomum	Lilium; Angélica	Zinc k7 MH		activo
prot_194	Regulador hormonal masculino	Agnus	Chimaphila	Damiana	Zinc k7 MH		activo
prot_195	Reumatismo	Magnesia; Elíxir de Cúrcuma	Colchicum	Rhododendron	Manganeso k7 MH	Árnica Crema o Gel	activo
prot_196	Rinitis	Euphatorium; Luffa spray nasal		Hydrastis	Iodo k7 MH		activo
prot_197	Scrofulosis	Juglans		Scrophularia	Zinc k7 MH		activo
prot_198	Sinusitis	Luffa spray nasal; Euphatorium; Allium cepa ótico		Hydrastis	Iodo k7 MH		activo
prot_199	Sistema inmune	Conium; Galium; Echinacea; Ascorbicum acidum; MHPHOR; Stanum cápsulas o spray; Elíxir de Cúrcuma	Juglans		Iodo k7 MH		activo
prot_200	Tabaquismo	Tabacum		Nux vómica			activo
prot_201	Taquicardia	Baryta; Elíxir de Cúrcuma	Cactus	Passiflora	Hierro k7 MH		activo
prot_202	Temores	Gelsemium	Aurum met	Hypericum; Conium	Magnesio k7 MH		activo
prot_203	Tendinitis	Magnesia	Colchicum	Árnica; Rhododendron	Cobre k7 MH	Aesculus Gel; Árnica Crema o Gel; Cannabis crema; Cápsicum ungüento	activo
prot_204	Tiña	Pulsatilla		Graphites	Manganeso k7 MH	Propolis spray; Echinacea crema o gel; Plata Coloidal spray	activo
prot_205	Tiroides (reguladores)	Badiaga; Iodum			Cobre k7 MH		activo
prot_206	Tos	Ipeca	Kalium Bich	Sambucus Elíxir; Ipeca Elíxir	Iodo k7 MH		activo
prot_207	Tumores	Thuja; Scrophularia; Tratamiento Oncológico		Juglans	Magnesio k7 MH		activo
prot_208	Úlcera gástrica	Abies; Fibaloe	Alumina	Nux vómica; Plata Coloidal spray oral	Cuprum k7 MH		activo
prot_209	Úlcera varicosa úlcera de pié diabético	Hamamelis	Cactus		Hierro k7 MH	Graphites crema o gel	activo
prot_210	Uretritis	Hydrangea	Equisetum	Berberis; Baptisia	Iodo k7 MH		activo
prot_211	Uricemia	Benzoicum acidum		Cholesterolum	Magnesio k7 MH		activo
prot_212	Urticaria	Mezereum		Graphites; Sulphur	Manganeso k7 MH	Urtica Gel o Crema; Caléndula Crema o Gel; Plata Coloidal spray	activo
prot_213	Vaginitis	Lilium óvulos vaginales; Viburnum	Cinnamomum	Crocus	Iodo k7 MH		activo
prot_214	Várices	Hamamelis	Cactus	Árnica; Vipera	Hierro k7 MH	Aesculus Gel	activo
prot_215	Verrugas	Thuja	Juglans	Scrophularia	Manganeso k7 MH	Crema de Thuja	activo
prot_216	Vértigo	Petroleum		Crataegus	Zinc k7 MH		activo
prot_217	Virosis	Vincetoxicum; Elíxir de Cúrcuma		Baptisia	Iodo k7 MH		activo
prot_218	Vitiligo	Argentum nitricum D4; Mica D6; Saponaria D6; Sepia D6 (Magistral)					activo
prot_219	Vitamina d (deficiencia de)	Vitex D4 MH					activo
prot_220	Vitaminas (deficiencia de)	MHPHOR; Elíxir de Cúrcuma		Ruta Elíxir; Conium; NUTRIVIT4			activo
